date,adj_close,volume
2024-09-03,107.8222885131836,477155100
2024-09-04,106.03523254394531,372470300
2024-09-05,107.0335922241211,306850700
2024-09-06,102.66080474853516,413638100
2024-09-09,106.29480743408203,273912000
2024-09-10,107.922119140625,268283700
2024-09-11,116.71763610839844,441422400
2024-09-12,118.95413970947266,366052700
2024-09-13,118.91419219970703,238358300
2024-09-16,116.59781646728516,248772300
2024-09-17,115.40967559814453,231925900
2024-09-18,113.1931381225586,310318900
2024-09-19,117.68611145019531,293506400
2024-09-20,115.81903839111328,382462400
2024-09-23,116.07862854003906,206228500
2024-09-24,120.68144226074219,354966800
2024-09-25,123.31731414794922,284692900
2024-09-26,123.84648895263672,302582900
2024-09-27,121.21060943603516,271009200
2024-09-30,121.25054931640625,226553700
2024-10-01,116.81746673583984,302094500
2024-10-02,118.66458129882812,221845900
2024-10-03,122.6583480834961,277118000
2024-10-04,124.72510528564453,243678100
2024-10-07,127.52073669433594,346250200
2024-10-08,132.68267822265625,285722500
2024-10-09,132.4430389404297,246191600
2024-10-10,134.5996551513672,242311300
2024-10-11,134.58970642089844,170209500
2024-10-14,137.85459899902344,232347700
2024-10-15,131.3946990966797,377831000
2024-10-16,135.5082550048828,264879700
2024-10-17,136.7163848876953,306435900
2024-10-18,137.7847137451172,176090200
2024-10-21,143.48582458496094,264554500
2024-10-22,143.36599731445312,226311600
2024-10-23,139.34228515625,285930000
2024-10-24,140.1909637451172,172354900
2024-10-25,141.31919860839844,205122100
2024-10-28,140.30075073242188,173586700
2024-10-29,141.02964782714844,157593600
2024-10-30,139.12261962890625,179418100
2024-10-31,132.55288696289062,270039600
2024-11-01,135.18873596191406,207127800
2024-11-04,135.8377685546875,187528200
2024-11-05,139.6917266845703,160537400
2024-11-06,145.38282775878906,242043900
2024-11-07,148.6477508544922,207323300
2024-11-08,147.39967346191406,175665800
2024-11-11,145.0333709716797,182325600
2024-11-12,148.0586395263672,198634700
2024-11-13,146.04177856445312,191903300
2024-11-14,146.53102111816406,194463300
2024-11-15,141.7584991455078,250132900
2024-11-18,139.9313507080078,221205300
2024-11-19,146.7806396484375,227834900
2024-11-20,145.6623992919922,309871700
2024-11-21,146.44119262695312,400946600
2024-11-22,141.72853088378906,236406200
2024-11-25,135.80780029296875,344941900
2024-11-26,136.70640563964844,190287700
2024-11-27,135.1288604736328,226370900
2024-11-29,138.03433227539062,141863200
2024-12-02,138.41371154785156,171682800
2024-12-03,140.0411834716797,164414000
2024-12-04,144.91354370117188,231224300
2024-12-05,144.84368896484375,172621200
2024-12-06,142.22756958007812,188505600
2024-12-09,138.6029815673828,189308600
2024-12-10,134.86859130859375,210020900
2024-12-11,139.1022491455078,184905200
2024-12-12,137.1351776123047,159211400
2024-12-13,134.04978942871094,231514900
2024-12-16,131.80313110351562,237951100
2024-12-17,130.19554138183594,259410300
2024-12-18,128.71775817871094,277444500
2024-12-19,130.485107421875,209719200
2024-12-20,134.49913024902344,306528600
2024-12-23,139.46170043945312,176053500
2024-12-24,140.01089477539062,105157000
2024-12-26,139.7213134765625,116205600
2024-12-27,136.8056640625,170582600
2024-12-30,137.2849578857422,167734700
2024-12-31,134.0897216796875,155659200
2025-01-02,138.1037139892578,198247200
2025-01-03,144.25454711914062,229322500
2025-01-06,149.2071533203125,265377400
2025-01-07,139.93101501464844,351782200
2025-01-08,139.90106201171875,227349900
2025-01-10,135.7073211669922,207602500
2025-01-13,133.03131103515625,204808900
2025-01-14,131.56349182128906,195590500
2025-01-15,136.0368194580078,185217300
2025-01-16,133.37081909179688,209235600
2025-01-17,137.504638671875,201188800
2025-01-21,140.61996459960938,197749000
2025-01-22,146.85067749023438,237651400
2025-01-23,147.00047302246094,155915500
2025-01-24,142.40731811523438,234657600
2025-01-27,118.24340057373047,818830900
2025-01-28,128.79763793945312,579666400
2025-01-29,123.5155258178711,467120600
2025-01-30,124.46410369873047,392925500
2025-01-31,119.89094543457031,388161100
2025-02-03,116.48603820800781,371235700
2025-02-04,118.47305297851562,256550000
2025-02-05,124.64384460449219,262230800
2025-02-06,128.4880828857422,251483600
2025-02-07,129.6463623046875,228186300
2025-02-10,133.37081909179688,216989100
2025-02-11,132.6019744873047,178902400
2025-02-12,130.94442749023438,160278600
2025-02-13,135.08824157714844,197430000
2025-02-14,138.64292907714844,195479600
2025-02-18,139.19210815429688,219176600
2025-02-19,139.02235412597656,167536000
2025-02-20,139.90106201171875,143903600
2025-02-21,134.22952270507812,228217600
