date,ticker,open,high,low,close,adj_close,volume,dividends,splits,source,ret,ma50,ma200,rsi,vol21,peak,dd
2024-09-03,META,519.6400146484375,525.489990234375,508.6199951171875,511.760009765625,508.34759521484375,12459100,0.0,0.0,yahoo,,,,,,508.34759521484375,0.0
2024-09-04,META,506.07000732421875,516.5900268554688,504.07000732421875,512.739990234375,509.3210144042969,8335200,0.0,0.0,yahoo,0.0019148692717660953,,,,,509.3210144042969,0.0
2024-09-05,META,511.7200012207031,521.6300048828125,511.1499938964844,516.8599853515625,513.4134521484375,8640900,0.0,0.0,yahoo,0.00803508519853069,,,,,513.4134521484375,0.0
2024-09-06,META,521.8800048828125,524.5800170898438,498.25,500.2699890136719,496.93414306640625,14744500,0.0,0.0,yahoo,-0.0320975405164623,,,,,513.4134521484375,-0.0320975405164623
2024-09-09,META,506.1600036621094,511.3299865722656,502.0799865722656,504.7900085449219,501.4240417480469,11047800,0.0,0.0,yahoo,0.009035198615927387,,,,,513.4134521484375,-0.02335234955418397
2024-09-10,META,508.1600036621094,514.1799926757812,500.0299987792969,504.7900085449219,501.4240417480469,9899000,0.0,0.0,yahoo,0.0,,,,,513.4134521484375,-0.02335234955418397
2024-09-11,META,507.010009765625,513.1199951171875,495.6000061035156,511.8299865722656,508.41705322265625,10782500,0.0,0.0,yahoo,0.013946302714625602,,,,,513.4134521484375,-0.009731725775538713
2024-09-12,META,517.0499877929688,526.7100219726562,515.219970703125,525.5999755859375,522.09521484375,11970500,0.0,0.0,yahoo,0.02690342807030821,,,,,522.09521484375,0.0
2024-09-13,META,520.3400268554688,527.5800170898438,517.1099853515625,524.6199951171875,521.121826171875,10321400,0.0,0.0,yahoo,-0.001864389184578763,,,,,522.09521484375,-0.001864389184578763
2024-09-16,META,524.5399780273438,534.0999755859375,517.4000244140625,533.280029296875,530.2293701171875,9527600,0.5,0.0,yahoo,0.017476803864109547,,,,,530.2293701171875,0.0
2024-09-17,META,537.5999755859375,542.0999755859375,530.5700073242188,536.3200073242188,533.2520751953125,11690800,0.0,0.0,yahoo,0.005700749993265974,,,,,533.2520751953125,0.0
2024-09-18,META,537.0700073242188,544.2000122070312,533.9000244140625,537.9500122070312,534.8727416992188,10323500,0.0,0.0,yahoo,0.0030392127462657292,,,,,534.8727416992188,0.0
2024-09-19,META,550.0,562.0700073242188,546.52001953125,559.0999755859375,555.9016723632812,15647000,0.0,0.0,yahoo,0.039315764339114434,,,,,555.9016723632812,0.0
2024-09-20,META,560.0,564.5,556.2999877929688,561.3499755859375,558.1387939453125,22066800,0.0,0.0,yahoo,0.004024311660226987,,,,,558.1387939453125,0.0
2024-09-23,META,569.5,573.97998046875,562.4099731445312,564.4099731445312,561.1813354492188,12830700,0.0,0.0,yahoo,0.00545122743108295,,,80.10842299018168,,561.1813354492188,0.0
2024-09-24,META,566.6799926757812,567.75,554.1900024414062,563.3300170898438,560.1075439453125,12993000,0.0,0.0,yahoo,-0.001913448356308356,,,78.9087055839768,,561.1813354492188,-0.001913448356308356
2024-09-25,META,564.0499877929688,576.8800048828125,563.719970703125,568.3099975585938,565.0590209960938,16543400,0.0,0.0,yahoo,0.008840225603647056,,,79.11297331405683,,565.0590209960938,0.0
2024-09-26,META,575.72998046875,577.4000244140625,562.3499755859375,567.8400268554688,564.5917358398438,14400800,0.0,0.0,yahoo,-0.0008269669873179897,,,96.54067189746208,,565.0590209960938,-0.0008269669873179897
2024-09-27,META,570.0999755859375,570.8400268554688,564.510009765625,567.3599853515625,564.1144409179688,9398400,0.0,0.0,yahoo,-0.0008453806380375184,,,95.64352774976925,,565.0590209960938,-0.0016716485234761214
2024-09-30,META,567.7000122070312,574.6799926757812,564.7999877929688,572.4400024414062,569.1654052734375,12792300,0.0,0.0,yahoo,0.008953793750164252,,,95.94199395070073,,569.1654052734375,0.0
2024-10-01,META,577.97998046875,583.0399780273438,570.0999755859375,576.469970703125,573.1723022460938,15259300,0.0,0.0,yahoo,0.007039951717956683,,,95.770692261498,,573.1723022460938,0.0
2024-10-02,META,574.8599853515625,576.0,569.3400268554688,572.8099975585938,569.5332641601562,6524700,0.0,0.0,yahoo,-0.006348942668159663,,,89.07605105263634,0.2146176394745819,573.1723022460938,-0.006348942668159663
2024-10-03,META,570.1500244140625,583.3599853515625,568.72998046875,582.77001953125,579.436279296875,11581000,0.0,0.0,yahoo,0.01738794862372428,,,91.87495507562197,0.21801514112792922,579.436279296875,0.0
2024-10-04,META,583.72998046875,596.8499755859375,581.4299926757812,595.9400024414062,592.531005859375,14169500,0.0,0.0,yahoo,0.02259907953708029,,,92.31502024654017,0.22523545789734617,592.531005859375,0.0
2024-10-07,META,598.219970703125,602.9500122070312,584.0399780273438,584.780029296875,581.434814453125,12014200,0.0,0.0,yahoo,-0.018726769226458773,,,79.49123137339288,0.199302930182395,592.531005859375,-0.018726769226458773
2024-10-08,META,589.6900024414062,593.5599975585938,585.969970703125,592.8900146484375,589.4983520507812,7857400,0.0,0.0,yahoo,0.0138683432729092,,,80.99050671483025,0.20044739637016157,592.531005859375,-0.005118135217574538
2024-10-09,META,593.989990234375,594.3900146484375,581.6099853515625,590.510009765625,587.1320190429688,9529700,0.0,0.0,yahoo,-0.004014146943041252,,,72.47750834651204,0.20288569609728552,592.531005859375,-0.009111737213778115
2024-10-10,META,587.5700073242188,590.22998046875,582.52001953125,583.8300170898438,580.490234375,7740400,0.0,0.0,yahoo,-0.011312250826985948,,,65.12790346060613,0.21163969130325821,592.531005859375,-0.020320913783932193
2024-10-11,META,584.8300170898438,591.2100219726562,582.7100219726562,589.9500122070312,586.5751953125,8587100,0.0,0.0,yahoo,0.010482451860799324,,,66.50724917137023,0.1988705954397026,592.531005859375,-0.010051474923640558
2024-10-14,META,594.219970703125,600.0999755859375,589.9600219726562,590.4199829101562,587.04248046875,8252000,0.0,0.0,yahoo,0.0007966329977540099,,,67.64818328113152,0.19781713195196535,592.531005859375,-0.009262849262486661
2024-10-15,META,590.1599731445312,590.6099853515625,580.1400146484375,586.27001953125,582.916259765625,9564200,0.0,0.0,yahoo,-0.007028828134942211,,,61.82825215988615,0.19774517149933293,592.531005859375,-0.016226570421922992
2024-10-16,META,581.4000244140625,582.0800170898438,574.030029296875,576.7899780273438,573.490478515625,11268400,0.0,0.0,yahoo,-0.01617004345322237,,,55.26901818607606,0.210317352253064,592.531005859375,-0.03213422952632605
2024-10-17,META,583.3300170898438,584.969970703125,575.2000122070312,576.9299926757812,573.6296997070312,8701200,0.0,0.0,yahoo,0.00024276112092835866,,,55.65670918263677,0.2106262909696989,592.531005859375,-0.03189926934697762
2024-10-18,META,581.0999755859375,583.969970703125,575.25,576.469970703125,573.1723022460938,7694300,0.0,0.0,yahoo,-0.0007973740919814398,,,52.5196682968318,0.1654893416949105,592.531005859375,-0.03267120778802868
2024-10-21,META,576.030029296875,577.239990234375,569.1099853515625,575.1599731445312,571.8697509765625,8171900,0.0,0.0,yahoo,-0.0022725300305457274,,,49.1520736668036,0.16572114136676447,592.531005859375,-0.03486949151774177
2024-10-22,META,574.2899780273438,583.530029296875,572.1199951171875,582.010009765625,578.6806640625,8544500,0.0,0.0,yahoo,0.011909902690790508,,,55.71856033809756,0.16927610551190975,592.531005859375,-0.023374881077804832
2024-10-23,META,579.969970703125,585.0,562.5,563.6900024414062,560.46533203125,14248400,0.0,0.0,yahoo,-0.031477346941875095,,,39.256729665832516,0.20420252480356937,592.531005859375,-0.05411644877826882
2024-10-24,META,567.1300048828125,568.8800048828125,561.52001953125,567.780029296875,564.5321044921875,7184700,0.0,0.0,yahoo,0.007256064253249317,,,32.33826095393273,0.2034213600818293,592.531005859375,-0.04725305695451232
2024-10-25,META,573.9299926757812,581.2899780273438,571.719970703125,573.25,569.9707641601562,11337900,0.0,0.0,yahoo,0.009633924491966539,,,42.212636601316945,0.2060738214665105,592.531005859375,-0.038074364845260056
2024-10-28,META,582.0,583.75,574.1199951171875,578.1599731445312,574.8525390625,10925100,0.0,0.0,yahoo,0.00856495667727275,,,39.60183491168209,0.20785182547481584,592.531005859375,-0.02983551345340163
2024-10-29,META,580.1500244140625,593.6699829101562,575.4000244140625,593.280029296875,589.8862915039062,13019100,0.0,0.0,yahoo,0.026152363292896164,,,51.65735507783978,0.22407049828496356,592.531005859375,-0.0044634193473690464
2024-10-30,META,600.97998046875,601.2000122070312,589.3800048828125,591.7999877929688,588.4146118164062,26864900,0.0,0.0,yahoo,-0.00249485317542808,,,55.084794220003616,0.22369474613771187,592.531005859375,-0.006947136946864996
2024-10-31,META,585.0,589.9000244140625,563.010009765625,567.5800170898438,564.333251953125,26838400,0.0,0.0,yahoo,-0.040925835932155596,,,38.405835834077834,0.2666277622630844,592.531005859375,-0.04758865549213498
2024-11-01,META,567.6099853515625,573.6699829101562,562.5599975585938,567.1599731445312,563.91552734375,15303200,0.0,0.0,yahoo,-0.0007402091015004109,,,37.93827034735662,0.25875276034263917,592.531005859375,-0.04829363903771189
2024-11-04,META,564.0999755859375,568.6900024414062,557.8900146484375,560.6799926757812,557.47265625,12064600,0.0,0.0,yahoo,-0.011425241514625983,,,37.043133608010564,0.2459058295205694,592.531005859375,-0.0591671140627118
2024-11-05,META,567.2999877929688,573.47998046875,566.6699829101562,572.4299926757812,569.1553955078125,9775400,0.0,0.0,yahoo,0.02095661397349935,,,47.84201296262762,0.25184218818656556,592.531005859375,-0.03945044245855078
2024-11-06,META,562.75,573.0,555.1699829101562,572.0499877929688,568.777587890625,18305400,0.0,0.0,yahoo,-0.0006638039807219664,,,47.59036181097661,0.24607358249579364,592.531005859375,-0.04008805907852764
2024-11-07,META,576.8900146484375,594.7999877929688,575.2100219726562,591.7000122070312,588.3152465820312,14653700,0.0,0.0,yahoo,0.03435026116950879,,,56.32212026048657,0.2754407514727089,592.531005859375,-0.007114833208144877
2024-11-08,META,591.5399780273438,593.0999755859375,584.52001953125,589.3400268554688,585.9686889648438,9415700,0.0,0.0,yahoo,-0.003988605821148461,,,55.83538248018597,0.2727255439529928,592.531005859375,-0.011075060764142886
2024-11-11,META,586.3599853515625,587.0,576.510009765625,583.1699829101562,579.833984375,10209100,0.0,0.0,yahoo,-0.010469338559166319,559.7122320556641,,50.48003251702063,0.2728060898160898,592.531005859375,-0.02142845076260591
2024-11-12,META,588.5399780273438,599.6599731445312,580.3800048828125,584.8200073242188,581.4745483398438,16287700,0.0,0.0,yahoo,0.002829368421052525,561.174771118164,,60.14402592419483,0.2730100895603694,592.531005859375,-0.01865971132345312
2024-11-13,META,582.6099853515625,585.6400146484375,575.1699829101562,580.0,576.6821899414062,10757600,0.0,0.0,yahoo,-0.008241733730427359,562.5219946289062,,55.82569078510319,0.2734180966650497,592.531005859375,-0.0267476566816659
2024-11-14,META,577.0,580.760009765625,573.010009765625,577.1599731445312,573.8583374023438,11053700,0.0,0.0,yahoo,-0.004896722299243206,563.7308923339843,,51.911944988431195,0.2679438754659118,592.531005859375,-0.03151340313398354
2024-11-15,META,571.219970703125,572.5700073242188,551.5,554.0800170898438,550.9103393554688,17712900,0.0,0.0,yahoo,-0.03998895990733975,564.8104162597656,,40.00172301029269,0.3018940143518308,592.531005859375,-0.07024217482685469
2024-11-18,META,557.0399780273438,559.9000244140625,550.0900268554688,554.4000244140625,551.2286376953125,14327300,0.0,0.0,yahoo,0.0005777679544300973,565.8065081787109,,31.594428639096577,0.3019862008413123,592.531005859375,-0.06970499055008905
2024-11-19,META,551.8599853515625,561.4299926757812,550.5999755859375,561.0900268554688,557.8803100585938,9522400,0.0,0.0,yahoo,0.01206699345500617,566.9356335449219,,36.14547919802997,0.30569639686357275,592.531005859375,-0.058479126759832134
2024-11-20,META,562.9299926757812,566.3499755859375,554.2000122070312,565.52001953125,562.2849731445312,9797300,0.0,0.0,yahoo,0.00789535498299787,568.0129919433593,,48.868597659855794,0.30387096874582814,592.531005859375,-0.05104548524169894
2024-11-21,META,569.52001953125,570.0,549.0499877929688,563.0900268554688,559.8688354492188,11154700,0.0,0.0,yahoo,-0.004296998516251427,568.7684643554687,,47.81302179094651,0.2836528388681542,592.531005859375,-0.05512314138360541
2024-11-22,META,563.5499877929688,563.8300170898438,554.5900268554688,559.1400146484375,555.9415283203125,9164000,0.0,0.0,yahoo,-0.00701469144242528,569.4648583984375,,49.149395292818795,0.2834257939025146,592.531005859375,-0.061751160997887466
2024-11-25,META,562.0999755859375,572.5900268554688,556.3900146484375,565.1099853515625,561.8772583007812,13599800,0.0,0.0,yahoo,0.010676896180795481,570.0978161621093,,45.68090295913112,0.2839218372886613,592.531005859375,-0.05173357555211011
2024-11-26,META,566.0,577.5,565.2000122070312,573.5399780273438,570.259033203125,10356600,0.0,0.0,yahoo,0.014917448212251383,570.8379553222657,,50.80287064626588,0.2873175891368779,592.531005859375,-0.03758786027399175
2024-11-27,META,574.8900146484375,574.97998046875,564.0999755859375,569.2000122070312,565.9439086914062,7200200,0.0,0.0,yahoo,-0.007566955121220742,571.4593786621094,,35.480085883834974,0.27162804815712693,592.531005859375,-0.044870389743416506
2024-11-29,META,569.0,578.4600219726562,566.9000244140625,574.3200073242188,571.03466796875,7130500,0.0,0.0,yahoo,0.00899516577378634,571.7620385742188,,40.64060908967808,0.27417826019820346,592.531005859375,-0.03627884056370667
2024-12-02,META,577.5,594.5,575.5700073242188,592.8300170898438,589.438720703125,12522400,0.0,0.0,yahoo,0.03222930894868559,572.388037109375,,55.217113394405864,0.25751265616672103,592.531005859375,-0.0052187735758487674
2024-12-03,META,595.0,614.2000122070312,591.25,613.6500244140625,610.1397094726562,14907200,0.0,0.0,yahoo,0.03511983187130574,573.3672045898437,,62.89936817403284,0.28122412466226876,610.1397094726562,0.0
