date,ticker,open,high,low,close,adj_close,volume,dividends,splits,source
1980-12-12,AAPL,0.1283479928970337,0.1289059966802597,0.1283479928970337,0.1283479928970337,0.09812241792678833,469033600,0.0,0.0,yahoo
1980-12-15,AAPL,0.12221000343561172,0.12221000343561172,0.12165199965238571,0.12165199965238571,0.0930032953619957,175884800,0.0,0.0,yahoo
1980-12-16,AAPL,0.1132809966802597,0.1132809966802597,0.11272300034761429,0.11272300034761429,0.0861770436167717,105728000,0.0,0.0,yahoo
1980-12-17,AAPL,0.11551299691200256,0.11607100069522858,0.11551299691200256,0.11551299691200256,0.08831001818180084,86441600,0.0,0.0,yahoo
1980-12-18,AAPL,0.11886200308799744,0.11941999942064285,0.11886200308799744,0.11886200308799744,0.09087035059928894,73449600,0.0,0.0,yahoo
1980-12-19,AAPL,0.12611599266529083,0.12667399644851685,0.12611599266529083,0.12611599266529083,0.09641601890325546,48630400,0.0,0.0,yahoo
1980-12-22,AAPL,0.1322540044784546,0.1328130066394806,0.1322540044784546,0.1322540044784546,0.10110854357481003,37363200,0.0,0.0,yahoo
1980-12-23,AAPL,0.13783499598503113,0.13839299976825714,0.13783499598503113,0.13783499598503113,0.1053752601146698,46950400,0.0,0.0,yahoo
1980-12-24,AAPL,0.14508900046348572,0.14564700424671173,0.14508900046348572,0.14508900046348572,0.11092094331979752,48003200,0.0,0.0,yahoo
1980-12-26,AAPL,0.15848200023174286,0.15904000401496887,0.15848200023174286,0.15848200023174286,0.12115991860628128,55574400,0.0,0.0,yahoo
1980-12-29,AAPL,0.16071400046348572,0.16127200424671173,0.16071400046348572,0.16071400046348572,0.12286632508039474,93161600,0.0,0.0,yahoo
1980-12-30,AAPL,0.15736599266529083,0.15736599266529083,0.156808003783226,0.156808003783226,0.11988014727830887,68880000,0.0,0.0,yahoo
1980-12-31,AAPL,0.1529020071029663,0.1529020071029663,0.1523440033197403,0.1523440033197403,0.11646736413240433,35750400,0.0,0.0,yahoo
1981-01-02,AAPL,0.15401799976825714,0.15513400733470917,0.15401799976825714,0.15401799976825714,0.11774718761444092,21660800,0.0,0.0,yahoo
1981-01-05,AAPL,0.15122799575328827,0.15122799575328827,0.15067000687122345,0.15067000687122345,0.1151876449584961,35728000,0.0,0.0,yahoo
1981-01-06,AAPL,0.1445309966802597,0.1445309966802597,0.1439729928970337,0.1439729928970337,0.11006771773099899,45158400,0.0,0.0,yahoo
1981-01-07,AAPL,0.13839299976825714,0.13839299976825714,0.13783499598503113,0.13783499598503113,0.1053752601146698,55686400,0.0,0.0,yahoo
